TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/8/11 5:40,Dataset 1,10/8/11 5:40,7.42,0.138814,0.265364632,6.993769592,6.965098255,1.00411643,0.00411643,7.42,7,0.13,714.42,714.42,7.450543908,723.45,732.6805439,741.881483
10/8/11 5:50,Dataset 1,10/8/11 5:50,7.04,0.112216,0.210067508,6.940572456,6.906569349,1.004923299,0.004923299,7.04,7,0.11,600.04,600.04,7.074660026,609.07,604.5655736,613.6526399
10/8/11 6:20,Dataset 1,10/8/11 6:20,7.2,0.130556,0.151933265,7.130675442,7.046578989,1.011934366,0.011934366,7.2,7,0.13,648.2,648.2,7.285927435,675.29,661.1504282,688.6497814
10/8/11 6:30,Dataset 1,10/8/11 6:30,7.56,0.128307,0.218908114,7.871016431,7.873955375,0.999626751,-0.000373249,7.56,8,0.13,756.56,756.56,7.55717824,756.56,769.9732883,769.9624664
10/8/11 7:00,Dataset 1,10/8/11 7:00,9.11,0.154775,0.166530231,8.938425818,8.972279909,0.996226813,-0.003773187,9.11,9,0.15,1297.91,1297.91,9.075626265,1286.48,1293.507724,1283.999614
10/8/11 7:10,Dataset 1,10/8/11 7:10,7.41,0.1417,0.216722595,7.474734784,7.462687789,1.001614297,0.001614297,7.41,7,0.15,711.41,711.41,7.421961941,714.42,731.145152,734.2271048
10/8/11 11:00,Dataset 1,10/8/11 11:00,9.93,0.140987,0.167825668,9.516925019,9.546910275,0.996859166,-0.003140834,9.93,10,0.15,1610.33,1610.33,9.898811523,1598.9,1567.900835,1558.03682
10/8/11 11:10,Dataset 1,10/8/11 11:10,10.42,0.099808,0.184204233,10.15351653,10.27982387,0.987713084,-0.012286916,10.42,10,0.09,1749.14,1749.14,10.29197033,1714.43,1749.438407,1714.705939
10/8/11 11:20,Dataset 1,10/8/11 11:20,9.53,0.149003,0.109855459,9.381019352,9.389812625,0.99906353,-0.00093647,9.53,10,0.15,1457.93,1457.93,9.521075445,1454.12,1430.945712,1427.676819
10/8/11 11:30,Dataset 1,10/8/11 11:30,8.47,0.116883,0.081177833,8.205262449,8.242817635,0.99544389,-0.00455611,8.47,8,0.11,1061.49,1061.49,8.431409746,1046.81,1069.021954,1054.526484
